Region_ID, Region_name, Region_class, Process_ID, Height_mean, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Standard_deviation, Num_targets, TS_mean, Target_range_mean, Speed_4D_mean_unsmoothed, Fish_track_change_in_range, Time_in_beam, Distance_3D_unsmoothed, Thickness_mean, Exclude_below_line_range_mean, Target_depth_mean, Target_depth_max, Target_depth_min, Fish_track_change_in_depth,Site
32," ""Region 32"""," ""38kHz TargetsRedSnapper""",23,0.433619,43,45,0.008105,20191118, 18:30:56.1770,29.93926499,-86.14340795,0.000307596,3,-29.308767,36.859279,3.0277,-0.077324,0.315,0.9537,0.433619,38.168815,36.813697,36.845758,36.787741,-0.058017,Last Leg
33," ""Region 33"""," ""38kHz TargetsRedSnapper""",23,0.433619,71,75,0.014311,20191118, 18:31:00.6990,29.93918833,-86.14332833,6.54E-05,4,-32.587614,36.158656,2.726,-0.161797,0.665,1.8128,0.433619,38.158261,36.101108,36.208011,36.008645,-0.199366,Last Leg
34," ""Region 34"""," ""38kHz TargetsRedSnapper""",23,0.433619,109,114,0.022854,20191118, 18:31:06.7100,29.93908778,-86.14321234,0.00017636,4,-37.780117,37.159428,5.1204,-0.392787,0.776,3.9734,0.433619,38.311382,37.128352,37.301833,36.884788,-0.417046,Last Leg
35," ""Region 35"""," ""38kHz TargetsRedSnapper""",23,0.433619,154,158,0.032529,20191118, 18:31:13.8970,29.93899147,-86.1430639,3.41E-05,4,-38.961488,36.366501,1.5377,-0.092723,0.617,0.9488,0.433619,38.229799,36.295204,36.334353,36.228194,-0.10312,Last Leg
36," ""Region 36"""," ""38kHz VermillionSnap""",23,0.433619,820,822,0.162302,20191118, 18:32:56.3960,29.93834,-86.14096667,3.84E-06,3,-46.816726,32.883446,4.1478,-0.084911,0.287,1.1904,0.433619,37.815132,32.833505,32.87191,32.785539,-0.057526,Last Leg
37," ""Region 37"""," ""38kHz VermillionSnap""",23,0.433619,832,834,0.164639,20191118, 18:32:58.2660,29.93830308,-86.14098101,3.79E-06,3,-46.601784,32.047042,10.4867,-0.084917,0.31,3.2509,0.433619,37.860152,32.025398,32.1053,31.972359,-0.106765,Last Leg
389," ""Region 389"""," ""38kHz RedSnapper""",24,0.216809,42,51,0.005417,20191110, 16:56:30.2970,29.94209535,-86.14636019,0.000172329,8,-33.894185,32.495981,3.0516,-0.16689,1.782,5.4379,0.216809,38.527554,32.454982,32.614681,32.315376,-0.144108,Site1PipeJohn
390," ""Region 390"""," ""38kHz RedSnapper""",24,0.216809,164,172,0.022794,20191110, 16:56:48.5090,29.94202833,-86.14603667,3.49E-05,9,-34.268318,37.555267,3.1948,0.046203,1.169,3.7347,0.216809,38.323181,37.532945,37.549482,37.517841,0.024782,Site1PipeJohn
391," ""Region 391"""," ""38kHz RedSnapper""",24,0.216809,466,476,0.061381,20191110, 16:57:31.6690,29.94187167,-86.14532333,1.01E-05,5,-46.270494,31.859163,3.834,-0.34177,1.25,4.7925,0.216809,38.14182,31.84782,32.056609,31.688483,-0.354708,Site1PipeJohn
392," ""Region 392"""," ""38kHz RedSnapper""",24,0.216809,1943,1948,0.29386,20191110, 17:01:03.9930,29.94192801,-86.14602556,0.000192079,5,-35.345538,32.774555,5.118,-0.107772,0.726,3.7156,0.216809,38.419725,32.75363,32.862143,32.618016,-0.117078,Site1PipeJohn
393," ""Region 393"""," ""38kHz RedSnapper""",24,0.216809,1941,1950,0.29386,20191110, 17:01:03.9930,29.94192801,-86.14602556,0.00041808,5,-33.122064,35.880735,5.1646,-0.082713,1.253,6.4712,0.216809,38.414921,35.844384,35.94641,35.733965,-0.096149,Site1PipeJohn
394," ""Region 394"""," ""38kHz RedSnapper""",24,0.214146,1945,1957,0.294731,20191110, 17:01:04.7840,29.94193423,-86.14604066,0.000165231,13,-33.869353,28.19537,2.315,-0.264884,1.585,3.6693,0.214146,38.426101,28.15654,28.359058,28.083976,-0.263894,Site1PipeJohn
395," ""Region 395"""," ""38kHz RedSnapper""",24,0.216809,1935,1959,0.294303,20191110, 17:01:04.2620,29.9419312,-86.14603321,0.000271793,15,-33.934952,32.442532,3.1411,0.156961,3.333,10.4694,0.216809,38.447369,32.414503,32.545332,32.299426,0.133098,Site1PipeJohn
396," ""Region 396"""," ""38kHz RedSnapper""",24,0.216809,1942,1962,0.294931,20191110, 17:01:04.9050,29.94193558,-86.14604417,0.000524234,18,-29.861919,34.660302,4.3389,0.791799,2.747,11.9189,0.216809,38.47373,34.625714,35.202654,34.315511,0.803959,Site1PipeJohn
397," ""Region 397"""," ""38kHz RedSnapper""",24,0.216809,1954,1964,0.296118,20191110, 17:01:05.8790,29.9419439,-86.14606483,0.000574948,7,-31.596583,35.303498,3.2096,0.601292,1.368,4.3908,0.216809,38.567736,35.271147,35.644643,35.076969,0.567675,Site1PipeJohn
398," ""Region 398"""," ""38kHz RedSnapper""",24,0.216809,1941,1964,0.294931,20191110, 17:01:04.9050,29.94193558,-86.14604417,0.000281976,9,-30.800239,35.297891,2.3063,1.142763,3.119,7.1933,0.216809,38.484541,35.270195,35.872846,34.737401,1.135445,Site1PipeJohn
399," ""Region 399"""," ""38kHz RedSnapper""",24,0.216809,1955,1966,0.296386,20191110, 17:01:06.0320,29.94194599,-86.14606937,0.000681684,6,-27.567794,36.2018,1.2004,0.000789,1.5,1.8005,0.216809,38.595419,36.170548,36.217428,36.128141,-0.041199,Site1PipeJohn
400," ""Region 400"""," ""38kHz RedSnapper""",24,0.209444,1953,1970,0.296615,20191110, 17:01:06.1630,29.94194778,-86.14607325,0.000424742,10,-31.211736,34.853023,3.3837,1.628972,2.296,7.769,0.209444,38.602058,34.80466,35.745749,34.110716,1.601783,Site1PipeJohn
401," ""Region 401"""," ""38kHz RedSnapper""",24,0.213207,1959,1971,0.297111,20191110, 17:01:06.6620,29.94195167,-86.14608167,0.000245647,13,-35.194704,28.667771,3.6095,-0.150923,1.608,5.8041,0.213207,38.663417,28.651398,28.779664,28.582917,-0.162451,Site1PipeJohn
402," ""Region 402"""," ""38kHz RedSnapper""",24,0.216809,1965,1972,0.297699,20191110, 17:01:07.0690,29.94195627,-86.14609163,0.000638037,5,-28.846096,36.805774,3.7737,-0.132619,0.944,3.5624,0.216809,38.66983,36.751493,36.847743,36.682059,-0.110069,Site1PipeJohn
403," ""Region 403"""," ""38kHz RedSnapper""",24,0.216809,1978,1983,0.299592,20191110, 17:01:08.6220,29.94197167,-86.14612333,1.71E-05,6,-39.118786,35.759905,5.4589,-0.194023,0.602,3.2863,0.216809,38.505343,35.733539,35.837037,35.603036,-0.234001,Site1PipeJohn
404," ""Region 404"""," ""38kHz RedSnapper""",24,0.216809,1978,1990,0.300253,20191110, 17:01:09.1220,29.94197717,-86.14613434,0.000142728,7,-36.061905,27.932334,3.3942,-0.843365,1.508,5.1185,0.216809,38.408984,27.905871,28.151728,27.329887,-0.821841,Site1PipeJohn
405," ""Region 405"""," ""38kHz RedSnapper""",24,0.216809,2007,2014,0.305128,20191110, 17:01:13.1590,29.94202021,-86.14621368,4.89E-05,8,-38.356977,27.90148,2.8102,-0.431128,0.991,2.7849,0.216809,38.606294,27.87825,28.071916,27.651193,-0.420723,Site1PipeJohn
